temp_k_4,temp_k_3,temp_k_2,temp_k_1,temp_k,cons_k_5,cons_k_4,cons_k_3,cons_k_2,cons_k_1,holiday,cons_k
6.118649046,4.432160011,4.612845197,9.17461182,9.367180761,432.3,427.6,405.7,383,390.9,1,385.2
7.795182466,6.118649046,4.432160011,4.612845197,9.17461182,411.2,432.3,427.6,405.7,383,1,390.9
8.680300289,7.795182466,6.118649046,4.432160011,4.612845197,412.9,411.2,432.3,427.6,405.7,0,383
4.71021205,8.680300289,7.795182466,6.118649046,4.432160011,426.1,412.9,411.2,432.3,427.6,0,405.7
2.381916458,4.71021205,8.680300289,7.795182466,6.118649046,433.9,426.1,412.9,411.2,432.3,0,427.6
2.341479311,2.381916458,4.71021205,8.680300289,7.795182466,445.8,433.9,426.1,412.9,411.2,0,432.3
2.835781334,2.341479311,2.381916458,4.71021205,8.680300289,453.3,445.8,433.9,426.1,412.9,0,411.2
2.109524875,2.835781334,2.341479311,2.381916458,4.71021205,451.9,453.3,445.8,433.9,426.1,1,412.9
3.033025661,2.109524875,2.835781334,2.341479311,2.381916458,446.5,451.9,453.3,445.8,433.9,1,426.1
2.159466403,3.033025661,2.109524875,2.835781334,2.341479311,463.3,446.5,451.9,453.3,445.8,0,433.9
1.744024696,2.159466403,3.033025661,2.109524875,2.835781334,462.6,463.3,446.5,451.9,453.3,0,445.8
2.121467264,1.744024696,2.159466403,3.033025661,2.109524875,448.8,462.6,463.3,446.5,451.9,1,453.3
2.325457533,2.121467264,1.744024696,2.159466403,3.033025661,462.5,448.8,462.6,463.3,446.5,0,451.9
2.491729781,2.325457533,2.121467264,1.744024696,2.159466403,475,462.5,448.8,462.6,463.3,0,446.5
2.422146952,2.491729781,2.325457533,2.121467264,1.744024696,463.8,475,462.5,448.8,462.6,1,463.3
2.820652392,2.422146952,2.491729781,2.325457533,2.121467264,458,463.8,475,462.5,448.8,1,462.6
2.505285198,2.820652392,2.422146952,2.491729781,2.325457533,472.3,458,463.8,475,462.5,0,448.8
1.641586159,2.505285198,2.820652392,2.422146952,2.491729781,471.4,472.3,458,463.8,475,0,462.5
1.397387592,1.641586159,2.505285198,2.820652392,2.422146952,482.2,471.4,472.3,458,463.8,0,475
2.835719013,1.397387592,1.641586159,2.505285198,2.820652392,457.2,482.2,471.4,472.3,458,1,463.8
2.82645973,2.835719013,1.397387592,1.641586159,2.505285198,467.5,457.2,482.2,471.4,472.3,0,458
2.660839666,2.82645973,2.835719013,1.397387592,1.641586159,453.6,467.5,457.2,482.2,471.4,1,472.3
2.847258806,2.660839666,2.82645973,2.835719013,1.397387592,448.9,453.6,467.5,457.2,482.2,1,471.4
2.431580201,2.847258806,2.660839666,2.82645973,2.835719013,522.9,448.9,453.6,467.5,457.2,0,482.2
0.950376022,2.431580201,2.847258806,2.660839666,2.82645973,480.8,522.9,448.9,453.6,467.5,0,457.2
1.746225571,0.950376022,2.431580201,2.847258806,2.660839666,483.5,480.8,522.9,448.9,453.6,0,467.5
1.137417568,1.746225571,0.950376022,2.431580201,2.847258806,484,483.5,480.8,522.9,448.9,0,453.6
0.510294375,1.137417568,1.746225571,0.950376022,2.431580201,487,484,483.5,480.8,522.9,0,448.9
0.69867673,0.510294375,1.137417568,1.746225571,0.950376022,476.3,487,484,483.5,480.8,1,522.9
0.881983773,0.69867673,0.510294375,1.137417568,1.746225571,463.9,476.3,487,484,483.5,1,480.8
1.685381963,0.881983773,0.69867673,0.510294375,1.137417568,484.5,463.9,476.3,487,484,0,483.5
3.939003319,1.685381963,0.881983773,0.69867673,0.510294375,472.3,484.5,463.9,476.3,487,0,484
3.070725955,3.939003319,1.685381963,0.881983773,0.69867673,466.4,472.3,484.5,463.9,476.3,0,487
5.150662205,3.070725955,3.939003319,1.685381963,0.881983773,461.7,466.4,472.3,484.5,463.9,0,476.3
4.759881192,5.150662205,3.070725955,3.939003319,1.685381963,446.3,461.7,466.4,472.3,484.5,0,463.9
5.034132575,4.759881192,5.150662205,3.070725955,3.939003319,441.3,446.3,461.7,466.4,472.3,1,484.5
4.355852714,5.034132575,4.759881192,5.150662205,3.070725955,431.4,441.3,446.3,461.7,466.4,1,472.3
4.193033358,4.355852714,5.034132575,4.759881192,5.150662205,439.4,431.4,441.3,446.3,461.7,0,466.4
5.404802451,4.193033358,4.355852714,5.034132575,4.759881192,440.3,439.4,431.4,441.3,446.3,1,461.7
5.842354764,5.404802451,4.193033358,4.355852714,5.034132575,429,440.3,439.4,431.4,441.3,0,446.3
6.16550098,5.842354764,5.404802451,4.193033358,4.355852714,425,429,440.3,439.4,431.4,0,441.3
6.871606229,6.16550098,5.842354764,5.404802451,4.193033358,414.8,425,429,440.3,439.4,0,431.4
8.49931673,6.871606229,6.16550098,5.842354764,5.404802451,401.2,414.8,425,429,440.3,1,439.4
8.990766786,8.49931673,6.871606229,6.16550098,5.842354764,381.5,401.2,414.8,425,429,1,440.3
7.525604192,8.990766786,8.49931673,6.871606229,6.16550098,380,381.5,401.2,414.8,425,0,429
7.979375704,7.525604192,8.990766786,8.49931673,6.871606229,391.1,380,381.5,401.2,414.8,0,425
8.916960564,7.979375704,7.525604192,8.990766786,8.49931673,390.7,391.1,380,381.5,401.2,0,414.8
9.117897106,8.916960564,7.979375704,7.525604192,8.990766786,391.2,390.7,391.1,380,381.5,0,401.2
10.93746559,9.117897106,8.916960564,7.979375704,7.525604192,388.7,391.2,390.7,391.1,380,0,381.5
9.491542027,10.93746559,9.117897106,8.916960564,7.979375704,372.6,388.7,391.2,390.7,391.1,1,380
5.159304935,9.491542027,10.93746559,9.117897106,8.916960564,373.9,372.6,388.7,391.2,390.7,1,391.1
-0.091647361,5.159304935,9.491542027,10.93746559,9.117897106,437.9,373.9,372.6,388.7,391.2,0,390.7
-2.888416922,-0.091647361,5.159304935,9.491542027,10.93746559,498.4,437.9,373.9,372.6,388.7,0,391.2
-3.630879921,-2.888416922,-0.091647361,5.159304935,9.491542027,522.9,498.4,437.9,373.9,372.6,0,388.7
-3.308908708,-3.630879921,-2.888416922,-0.091647361,5.159304935,516.2,522.9,498.4,437.9,373.9,0,372.6
-2.306203746,-3.308908708,-3.630879921,-2.888416922,-0.091647361,492.6,516.2,522.9,498.4,437.9,0,373.9
-1.628279743,-2.306203746,-3.308908708,-3.630879921,-2.888416922,492.1,492.6,516.2,522.9,498.4,1,437.9
0.101359905,-1.628279743,-2.306203746,-3.308908708,-3.630879921,464.9,492.1,492.6,516.2,522.9,1,498.4
1.25036207,0.101359905,-1.628279743,-2.306203746,-3.308908708,463.4,464.9,492.1,492.6,516.2,0,522.9
2.534117696,1.25036207,0.101359905,-1.628279743,-2.306203746,459.3,463.4,464.9,492.1,492.6,0,516.2
4.270145153,2.534117696,1.25036207,0.101359905,-1.628279743,489.5,459.3,463.4,464.9,492.1,0,492.6
5.036330006,4.270145153,2.534117696,1.25036207,0.101359905,468,489.5,459.3,463.4,464.9,1,492.1
5.687891663,5.036330006,4.270145153,2.534117696,1.25036207,459.2,468,489.5,459.3,463.4,0,464.9
5.827568512,5.687891663,5.036330006,4.270145153,2.534117696,434.8,459.2,468,489.5,459.3,1,463.4
6.953221848,5.827568512,5.687891663,5.036330006,4.270145153,415.2,434.8,459.2,468,489.5,1,459.3
7.981691327,6.953221848,5.827568512,5.687891663,5.036330006,401.4,415.2,434.8,459.2,468,0,489.5
9.593117424,7.981691327,6.953221848,5.827568512,5.687891663,391.3,401.4,415.2,434.8,459.2,0,468
7.650089119,9.593117424,7.981691327,6.953221848,5.827568512,393,391.3,401.4,415.2,434.8,0,459.2
7.670348358,7.650089119,9.593117424,7.981691327,6.953221848,405.4,393,391.3,401.4,415.2,0,434.8
8.033639413,7.670348358,7.650089119,9.593117424,7.981691327,395.6,405.4,393,391.3,401.4,0,415.2
7.764328288,8.033639413,7.670348358,7.650089119,9.593117424,385.6,395.6,405.4,393,391.3,1,401.4
10.09827585,7.764328288,8.033639413,7.670348358,7.650089119,375.8,385.6,395.6,405.4,393,1,391.3
10.20302711,10.09827585,7.764328288,8.033639413,7.670348358,364.3,375.8,385.6,395.6,405.4,0,393
8.899711515,10.20302711,10.09827585,7.764328288,8.033639413,376.5,364.3,375.8,385.6,395.6,0,405.4
8.600591396,8.899711515,10.20302711,10.09827585,7.764328288,385,376.5,364.3,375.8,385.6,0,395.6
9.230649,8.600591396,8.899711515,10.20302711,10.09827585,363.7,385,376.5,364.3,375.8,0,385.6
10.40734987,9.230649,8.600591396,8.899711515,10.20302711,352.7,363.7,385,376.5,364.3,0,375.8
11.30022501,10.40734987,9.230649,8.600591396,8.899711515,343.8,352.7,363.7,385,376.5,1,364.3
10.72156155,11.30022501,10.40734987,9.230649,8.600591396,328.6,343.8,352.7,363.7,385,1,376.5
9.353066071,10.72156155,11.30022501,10.40734987,9.230649,344.7,328.6,343.8,352.7,363.7,0,385
9.350634346,9.353066071,10.72156155,11.30022501,10.40734987,355,344.7,328.6,343.8,352.7,0,363.7
11.44217368,9.350634346,9.353066071,10.72156155,11.30022501,344.7,355,344.7,328.6,343.8,0,352.7
12.40023693,11.44217368,9.350634346,9.353066071,10.72156155,334.4,344.7,355,344.7,328.6,0,343.8
14.66624468,12.40023693,11.44217368,9.350634346,9.353066071,317.3,334.4,344.7,355,344.7,0,328.6
14.84014399,14.66624468,12.40023693,11.44217368,9.350634346,309.9,317.3,334.4,344.7,355,1,344.7
14.65554917,14.84014399,14.66624468,12.40023693,11.44217368,288.1,309.9,317.3,334.4,344.7,1,355
12.87727622,14.65554917,14.84014399,14.66624468,12.40023693,291.1,288.1,309.9,317.3,334.4,0,344.7
11.20924221,12.87727622,14.65554917,14.84014399,14.66624468,304.2,291.1,288.1,309.9,317.3,0,334.4
11.89976455,11.20924221,12.87727622,14.65554917,14.84014399,306.2,304.2,291.1,288.1,309.9,0,317.3
12.65006213,11.89976455,11.20924221,12.87727622,14.65554917,321.9,306.2,304.2,291.1,288.1,0,309.9
11.27656172,12.65006213,11.89976455,11.20924221,12.87727622,326.5,321.9,306.2,304.2,291.1,0,288.1
9.45063979,11.27656172,12.65006213,11.89976455,11.20924221,345.9,326.5,321.9,306.2,304.2,1,291.1
8.443196563,9.45063979,11.27656172,12.65006213,11.89976455,340.5,345.9,326.5,321.9,306.2,1,304.2
7.889131336,8.443196563,9.45063979,11.27656172,12.65006213,366,340.5,345.9,326.5,321.9,0,306.2
8.734940399,7.889131336,8.443196563,9.45063979,11.27656172,364,366,340.5,345.9,326.5,0,321.9
12.42229447,8.734940399,7.889131336,8.443196563,9.45063979,352.4,364,366,340.5,345.9,0,326.5
13.62981364,12.42229447,8.734940399,7.889131336,8.443196563,326.6,352.4,364,366,340.5,0,345.9
13.864231,13.62981364,12.42229447,8.734940399,7.889131336,304.5,326.6,352.4,364,366,0,340.5
11.69827858,13.864231,13.62981364,12.42229447,8.734940399,293.1,304.5,326.6,352.4,364,1,366
12.74570041,11.69827858,13.864231,13.62981364,12.42229447,267.9,293.1,304.5,326.6,352.4,1,364
1.052312212,12.74570041,11.69827858,13.864231,13.62981364,266.7,267.9,293.1,304.5,326.6,1,352.4
8.624398675,1.052312212,12.74570041,11.69827858,13.864231,286,266.7,267.9,293.1,304.5,1,326.6
